P_infect = 0.3 P_initial_infect = 0.005 Runs per marginal node = 500
Node ID	Reward so Far	Marginal gain	Runtime (minutes)
1144	10132.61	-29132.39	0.01248627503712972
246	8992.028	-1140.5820000000003	0.8740156094233195
453	8308.506	-683.5220000000008	0.9521722555160522
1377	8007.15	-301.35599999999977	1.24010910987854
399	7786.008	-221.14199999999983	1.416157639026642
1548	7565.604	-220.40399999999954	1.4169047395388286
861	7354.0	-211.60400000000027	1.4226264278093974
788	7162.812	-191.1880000000001	1.4376196146011353
1315	6971.708	-191.10400000000027	1.4382851163546244
1073	6788.23	-183.47800000000007	1.4429688056310017
1022	6612.074	-176.15599999999995	1.4495394547780356
1425	6436.432	-175.64199999999983	1.4502047260602315
967	6262.51	-173.92199999999957	1.4526214043299357
1538	6091.628	-170.88200000000052	1.4578980326652526
396	5922.412	-169.21599999999944	1.4598542173703513
711	5754.594	-167.8180000000002	1.4619059284528098
531	5595.304	-159.28999999999996	1.4879016995429992
1706	5439.206	-156.09799999999996	1.6432252327601116
1843	5284.422	-154.78400000000056	1.6484076340993246
1642	5134.332	-150.08999999999924	1.669138240814209
1951	4987.114	-147.21800000000076	1.6799042065938314
1317	4839.944	-147.16999999999916	1.680654223759969
924	4695.168	-144.77600000000075	1.6879541595776877
1387	4561.446	-133.72199999999975	1.7225358764330545
1420	4433.454	-127.99200000000019	1.7540714701016744
483	4306.154	-127.29999999999927	1.7598612666130067
895	4185.06	-121.09400000000005	1.77855996688207
1468	4070.02	-115.04000000000042	1.8138029098510742
1695	3957.768	-112.25199999999995	1.832785928249359
584	3847.732	-110.03600000000006	1.846466879049937
607	3743.856	-103.87599999999975	1.8953566908836366
880	3640.344	-103.51200000000017	1.8998226483662923
1691	3541.268	-99.07600000000002	1.9398555000623068
415	3445.584	-95.6840000000002	1.9661901394526164
505	3351.274	-94.30999999999995	1.9815480907758076
580	3257.736	-93.53800000000001	1.989583969116211
26	3167.754	-89.98199999999997	2.0285900433858237
646	3079.644	-88.11000000000013	2.0446534554163613
1400	2997.556	-82.08799999999974	2.1194775342941283
1740	2915.732	-81.82400000000007	2.1233235438664755
1725	2834.158	-81.57400000000007	2.125404715538025
1622	2758.548	-75.61000000000013	2.421500798066457
1027	2685.016	-73.5319999999997	2.4437212864557902
494	2611.702	-73.31399999999985	2.448656455675761
831	2540.354	-71.34800000000041	2.4804019689559937
899	2469.972	-70.3819999999996	2.4944378614425657
1397	2400.926	-69.04600000000028	2.5170251448949177
1833	2333.332	-67.59400000000005	2.5340898315111797
706	2266.846	-66.48599999999988	2.5512648463249206
1337	2200.454	-66.39199999999983	2.5564375559488934
